portal_id,Genome,portal_link,DMAT,HYBRID,NRPS,NRPS-Like,PKS,PKS-Like,TC,Total
Ambph1,Ambrosiozyma philentoma NRRL Y-7523,https://mycocosm.jgi.doe.gov/Ambph1,0,0,0,1,0,2,0,3
Amnli1,Amniculicola lignicola CBS 123094 v1.0,https://mycocosm.jgi.doe.gov/Amnli1,1,4,4,5,17,3,2,36
Amore1,Amorphotheca resinae v1.0,https://mycocosm.jgi.doe.gov/Amore1,0,0,3,4,5,3,1,16
Ampqui1,Ampelomyces quisqualis HMLAC05119 v1.0,https://mycocosm.jgi.doe.gov/Ampqui1,1,1,5,5,7,2,2,23
AmpWSBS2006_1,Amphiamblys sp. WSBS2006,https://mycocosm.jgi.doe.gov/AmpWSBS2006_1,NA,NA,NA,NA,NA,NA,NA,0
Amyenc1,Amylocarpus encephaloides TRa018bII v1.0,https://mycocosm.jgi.doe.gov/Amyenc1,0,1,6,5,15,3,1,31
Amysub1,Amylocorticium subincarnatum OMC1654 v1.0,https://mycocosm.jgi.doe.gov/Amysub1,0,0,0,6,2,1,15,24
Amylap1_1,Amylocystis lapponica SKaAmylap13 v1.0,https://mycocosm.jgi.doe.gov/Amylap1_1,0,1,0,11,3,0,9,24
Amyrou1,Amylomyces rouxii NRRL 5866 v1.0,https://mycocosm.jgi.doe.gov/Amyrou1,0,0,1,7,2,1,0,11
Amycha1,Amylostereum chailletii DWAch2 v1.0,https://mycocosm.jgi.doe.gov/Amycha1,0,0,1,11,2,2,5,21
Anasp1,Anaeromyces robustus v1.0,https://mycocosm.jgi.doe.gov/Anasp1,0,0,28,3,6,8,0,45
Annbov1,Annulohypoxylon bovei var. microspora CBS 124037 v1.0,https://mycocosm.jgi.doe.gov/Annbov1,2,1,5,14,23,4,8,57
Annmae1,Annulohypoxylon maeteangense CBS 123835 v1.0,https://mycocosm.jgi.doe.gov/Annmae1,2,2,9,8,30,3,9,63
Annmin1,Annulohypoxylon minutellum CBS 135445 v1.0,https://mycocosm.jgi.doe.gov/Annmin1,3,1,6,10,33,3,8,64
Annmor1,Annulohypoxylon moriforme CBS 123579 v1.0,https://mycocosm.jgi.doe.gov/Annmor1,2,2,8,9,31,3,6,61
Annnit1,Annulohypoxylon nitens CBS 120705 v1.0,https://mycocosm.jgi.doe.gov/Annnit1,1,1,6,12,36,3,9,68
AnFL0455,Annulohypoxylon sp. FL0455 v1.0,https://mycocosm.jgi.doe.gov/AnFL0455,3,2,5,9,28,3,8,58
Annsty1,Annulohypoxylon stygium FL0470 v1.0,https://mycocosm.jgi.doe.gov/Annsty1,1,2,7,12,31,3,8,64
Anntru1,Annulohypoxylon truncatum CBS 140777 v1.0,https://mycocosm.jgi.doe.gov/Anntru1,3,2,4,14,25,4,9,61
Anoalb1,Anomoloma albolutescens OMC1655 v1.0,https://mycocosm.jgi.doe.gov/Anoalb1,2,0,1,6,2,0,4,15
Anobom1,Anomoporia bombycina ATCC 64506 v1.0,https://mycocosm.jgi.doe.gov/Anobom1,1,1,0,9,5,1,19,36
Anokam1,Anomoporia kamtschatica OMC1758 v1.0,https://mycocosm.jgi.doe.gov/Anokam1,1,0,5,13,5,0,19,43
Anomyc1,Anomoporia myceliosa MJL 4413 v1.0,https://mycocosm.jgi.doe.gov/Anomyc1,0,0,1,7,3,4,6,21
Antav1,Anthostoma avocetta NRRL 3190 v1.0,https://mycocosm.jgi.doe.gov/Antav1,9,7,14,17,48,6,17,118
Antleu1,Anthostomella leucospermi CBS110126 v1.0,https://mycocosm.jgi.doe.gov/Antleu1,4,5,14,16,35,6,12,92
Anttom1,Anthostomella tomicoides 1013 v1.0,https://mycocosm.jgi.doe.gov/Anttom1,6,8,18,17,45,6,13,113
Antlo1,Antonospora locustae HM-2013,https://mycocosm.jgi.doe.gov/Antlo1,NA,NA,NA,NA,NA,NA,NA,0
Antser1,Antrodia serialis Sig1Antser10 v1.0,https://mycocosm.jgi.doe.gov/Antser1,1,0,0,11,11,1,15,39
Antsi1,Antrodia sinuosa LB1 v1.0,https://mycocosm.jgi.doe.gov/Antsi1,1,0,0,9,4,0,11,25
Antcit1,Antrodiella citrinella FBCC 969 v1.0,https://mycocosm.jgi.doe.gov/Antcit1,0,0,0,17,3,0,7,27
Aphpse1,Aphanobasidium pseudotsugae OMC1630 v1.0,https://mycocosm.jgi.doe.gov/Aphpse1,6,1,0,7,1,0,7,22
Apibac1,Apiosordaria backusii CBS 540.89 v1.0,https://mycocosm.jgi.doe.gov/Apibac1,3,1,5,6,10,2,2,29
Apimo1,Apiospora montagnei NRRL 25634 v1.0,https://mycocosm.jgi.doe.gov/Apimo1,2,6,11,10,36,4,7,76
Aplpr1,Aplosporella prunicola CBS 121.167 v1.0,https://mycocosm.jgi.doe.gov/Aplpr1,1,4,6,8,10,2,3,34
Apope1,Apodospora peruviana CBS 118394 v1.0,https://mycocosm.jgi.doe.gov/Apope1,1,3,12,5,16,3,5,45
Elmca1,Aporpium caryae L-13461,https://mycocosm.jgi.doe.gov/Elmca1,2,0,1,7,3,0,5,18
Armbor1,Armillaria borealis FPL87.14 v1.0,https://mycocosm.jgi.doe.gov/Armbor1,0,1,1,18,9,0,13,42
Armcep1,Armillaria cepistipes B5,https://mycocosm.jgi.doe.gov/Armcep1,0,2,1,21,4,0,22,50
Armect1,Armillaria ectypa FPL83.16 v1.0,https://mycocosm.jgi.doe.gov/Armect1,0,2,1,10,5,0,9,27
Armfum1,Armillaria fumosa CBS 122221 v1.0,https://mycocosm.jgi.doe.gov/Armfum1,0,2,1,16,3,0,11,33
Armga1,Armillaria gallica 21-2 v1.0,https://mycocosm.jgi.doe.gov/Armga1,0,2,1,21,6,0,17,47
Armlut1,Armillaria luteobubalina HWK02 v1.0,https://mycocosm.jgi.doe.gov/Armlut1,0,3,1,13,8,0,15,40
Armme1_1,Armillaria mellea DSM 3731,https://mycocosm.jgi.doe.gov/Armme1_1,0,0,1,15,5,0,9,30
Armmel1,Armillaria mellea ELDO17 v1.0,https://mycocosm.jgi.doe.gov/Armmel1,0,2,1,14,6,0,9,32
Armnab1,Armillaria nabsnona CMW6904 v1.0,https://mycocosm.jgi.doe.gov/Armnab1,0,2,1,15,4,1,14,37
Armnov1,Armillaria novae-zelandiae 2840 v1.0,https://mycocosm.jgi.doe.gov/Armnov1,0,1,1,19,4,1,10,36
Armosto1,Armillaria ostoyae C18/9,https://mycocosm.jgi.doe.gov/Armosto1,0,2,1,19,5,0,15,42
Armost1,Armillaria solidipes 28-4 v1.0,https://mycocosm.jgi.doe.gov/Armost1,0,2,2,19,5,0,15,43
Armtab1,Armillaria tabescens CCBAS 213 v1.0,https://mycocosm.jgi.doe.gov/Armtab1,0,2,2,14,5,0,12,35
Artfe1_2,Arthroascus fermentans 17710 v1.0,https://mycocosm.jgi.doe.gov/Artfe1_2,0,0,0,1,0,2,0,3
Artol1,Arthrobotrys oligospora ATCC 24927,https://mycocosm.jgi.doe.gov/Artol1,1,0,1,4,4,2,4,16
Artbe1,Arthroderma benhamiae CBS 112371,https://mycocosm.jgi.doe.gov/Artbe1,2,3,14,4,7,2,2,34
Artele1122_1,Artolenzites elegans CIRM-BRFM 1122 v1.0,https://mycocosm.jgi.doe.gov/Artele1122_1,0,0,1,9,5,0,8,23
Artel1,Artolenzites elegans CIRM-BRFM 1663 v1.0,https://mycocosm.jgi.doe.gov/Artel1,NA,NA,NA,NA,NA,NA,NA,0
Ascim1,Ascobolus immersus RN42 v1.0,https://mycocosm.jgi.doe.gov/Ascim1,1,0,2,1,2,2,0,8
Ascra1,Ascochyta rabiei ArDII,https://mycocosm.jgi.doe.gov/Ascra1,1,1,2,7,8,2,0,21
Ascsa1,Ascocoryne sarcoides NRRL50072,https://mycocosm.jgi.doe.gov/Ascsa1,1,1,3,7,2,2,1,17
Ascni1,Ascodesmis nigricans CBS 389.68 v1.0,https://mycocosm.jgi.doe.gov/Ascni1,0,0,2,3,0,2,0,7
Ascru1,Ascoidea rubescens NRRL Y17699 v1.0,https://mycocosm.jgi.doe.gov/Ascru1,0,0,0,1,0,2,0,3
Ascap1,Ascosphaera apis ARSEF 7405,https://mycocosm.jgi.doe.gov/Ascap1,0,0,2,5,1,2,0,10
Aspacri1,Aspergillus acristatulus CBS 119.55 v1.0,https://mycocosm.jgi.doe.gov/Aspacri1,3,2,12,14,31,3,0,65
Aspacu1,Aspergillus aculeatinus CBS 121060 v1.0,https://mycocosm.jgi.doe.gov/Aspacu1,6,2,19,20,28,3,3,81
Aspac1,Aspergillus aculeatus ATCC16872 v1.1,https://mycocosm.jgi.doe.gov/Aspac1,3,4,18,21,19,4,2,71
Aspaff1,Aspergillus affinis CBS 129190 v1.0,https://mycocosm.jgi.doe.gov/Aspaff1,13,8,13,22,36,3,6,101
Aspala1,Aspergillus alabamensis v1.0,https://mycocosm.jgi.doe.gov/Aspala1,7,4,14,16,21,3,3,68
Aspalbe1,Aspergillus albertensis v1.0,https://mycocosm.jgi.doe.gov/Aspalbe1,5,2,13,17,38,7,4,86
Aspall1,Aspergillus allahabadii v1.0,https://mycocosm.jgi.doe.gov/Aspall1,10,3,10,19,16,2,1,61
Aspalli1,Aspergillus alliaceus CBS 536.65 v1.0,https://mycocosm.jgi.doe.gov/Aspalli1,2,2,15,20,37,8,5,89
Aspamb1,Aspergillus ambiguus v1.0,https://mycocosm.jgi.doe.gov/Aspamb1,8,1,11,18,18,1,2,59
Aspamoe1,Aspergillus amoeneus CBS 111.32 v1.0,https://mycocosm.jgi.doe.gov/Aspamoe1,10,3,14,12,19,4,0,62
Aspamy1,Aspergillus amylovorus CBS 600.67 v1.0,https://mycocosm.jgi.doe.gov/Aspamy1,2,3,11,9,27,2,6,60
Aspara19utr,Aspergillus arachidicola v1.0,https://mycocosm.jgi.doe.gov/Aspara19utr,10,3,18,13,18,5,3,70
Asparx1,Aspergillus arxii CBS 52583 v1.0,https://mycocosm.jgi.doe.gov/Asparx1,1,1,4,10,11,2,0,29
Aspass1,Aspergillus assulatus CBS 27911 v1.0,https://mycocosm.jgi.doe.gov/Aspass1,2,1,4,7,9,2,4,29
Aspaste1,Aspergillus astellatus v1.0,https://mycocosm.jgi.doe.gov/Aspaste1,3,6,12,15,29,6,5,76
Aspaura1,Aspergillus aurantiobrunneus CBS 465.65 v1.0,https://mycocosm.jgi.doe.gov/Aspaura1,6,1,10,14,20,3,6,60
Aspaurful1,Aspergillus aureofulgens IBT 27100 v1.0,https://mycocosm.jgi.doe.gov/Aspaurful1,11,0,12,18,13,2,1,57
Aspaurlat1,Aspergillus aureolatus CBS 190.65 v1.0,https://mycocosm.jgi.doe.gov/Aspaurlat1,7,3,15,6,36,5,3,75
Aspaurlut1,Aspergillus aureoluteus CBS 105.55 v1.0,https://mycocosm.jgi.doe.gov/Aspaurlut1,5,2,6,8,9,3,3,36
Aspaur1,Aspergillus aureoterreus v1.0,https://mycocosm.jgi.doe.gov/Aspaur1,8,2,14,14,17,3,6,64
Aspave1,Aspergillus avenaceus IBT 18842 v1.0,https://mycocosm.jgi.doe.gov/Aspave1,1,4,11,18,18,4,6,62
Aspber1,Aspergillus bertholletius IBT 29228 v1.0,https://mycocosm.jgi.doe.gov/Aspber1,6,5,11,10,22,5,6,65
Aspbip1,Aspergillus biplanus CBS 468.65 v1.0,https://mycocosm.jgi.doe.gov/Aspbip1,5,1,11,19,34,6,7,83
Aspbisp1,Aspergillus bisporus CBS 707.71 v1.0,https://mycocosm.jgi.doe.gov/Aspbisp1,2,1,8,12,12,4,2,41
Aspbom1,Aspergillus bombycis NRRL 26010,https://mycocosm.jgi.doe.gov/Aspbom1,7,4,18,18,22,9,5,83
Aspbot1,Aspergillus botucatensis CBS 114221 v1.0,https://mycocosm.jgi.doe.gov/Aspbot1,10,2,14,8,16,4,1,55
Aspbr1,Aspergillus brasiliensis v1.0,https://mycocosm.jgi.doe.gov/Aspbr1,2,5,11,17,29,6,3,73
Aspbrev1,Aspergillus brevijanus CBS 111.46 v1.0,https://mycocosm.jgi.doe.gov/Aspbrev1,10,3,20,23,39,3,4,102
Aspbre1,Aspergillus brevipes CBS 118.53 v1.0,https://mycocosm.jgi.doe.gov/Aspbre1,4,3,8,18,19,3,2,57
Aspbru1,Aspergillus brunneoviolaceus CBS 621.78 v1.0,https://mycocosm.jgi.doe.gov/Aspbru1,4,2,21,21,24,3,4,79
Aspcae1,Aspergillus caelatus CBS 763.97 v1.0,https://mycocosm.jgi.doe.gov/Aspcae1,8,4,16,20,22,8,5,83
Aspcal1,Aspergillus calidoustus,https://mycocosm.jgi.doe.gov/Aspcal1,7,1,9,13,28,2,6,66
Aspcalif1,Aspergillus californicus CBS 123895 v1.0,https://mycocosm.jgi.doe.gov/Aspcalif1,8,5,19,16,29,4,6,87
Aspcam1,Aspergillus campestris IBT 28561 v1.0,https://mycocosm.jgi.doe.gov/Aspcam1,5,5,11,11,12,2,2,48
Aspcand1,Aspergillus candidus CBS 102.13 v1.0,https://mycocosm.jgi.doe.gov/Aspcand1,4,4,11,6,16,3,1,45
Aspcanin1,Aspergillus caninus CBS 128032 v1.0,https://mycocosm.jgi.doe.gov/Aspcanin1,0,0,3,3,9,2,0,17
Aspcap1,Aspergillus capensis CBS 138188 v1.0,https://mycocosm.jgi.doe.gov/Aspcap1,6,3,20,18,13,3,5,68
Aspca3,Aspergillus carbonarius ITEM 5010 v3,https://mycocosm.jgi.doe.gov/Aspca3,2,5,11,20,18,4,4,64
Aspcar1,Aspergillus carlsbadensis CBS 123894 v1.0,https://mycocosm.jgi.doe.gov/Aspcar1,5,2,9,16,26,3,7,68
Aspcer1,Aspergillus cervinus CBS 196.64 v1.0,https://mycocosm.jgi.doe.gov/Aspcer1,3,1,16,10,24,5,4,63
Aspchev1,Aspergillus chevalieri CBS 522.65 v1.0,https://mycocosm.jgi.doe.gov/Aspchev1,2,1,3,10,13,2,0,31
Aspchr1,Aspergillus chrysellus CBS 472.65 v1.0,https://mycocosm.jgi.doe.gov/Aspchr1,7,11,14,26,38,5,4,105
Aspcla1,Aspergillus clavatonanicus v1.0,https://mycocosm.jgi.doe.gov/Aspcla1,4,4,11,7,15,3,3,47
Aspcl1,Aspergillus clavatus NRRL 1 from AspGD,https://mycocosm.jgi.doe.gov/Aspcl1,3,4,10,5,16,3,4,45
Aspcle1,Aspergillus cleistominutus CBS 200.75 v1.0,https://mycocosm.jgi.doe.gov/Aspcle1,6,2,15,14,27,2,3,69
Aspcorea1,Aspergillus coreanus CBS 117059 v1.0,https://mycocosm.jgi.doe.gov/Aspcorea1,8,1,11,10,14,2,1,47
Aspcor1,Aspergillus coremiiformis CBS 553.77 v1.0,https://mycocosm.jgi.doe.gov/Aspcor1,5,0,6,8,15,2,2,38
Aspcos1,Aspergillus costaricaensis CBS 115574 v1.0,https://mycocosm.jgi.doe.gov/Aspcos1,3,5,17,21,32,7,7,92
Aspcost1,Aspergillus costiformis CBS 101749 v1.0,https://mycocosm.jgi.doe.gov/Aspcost1,2,0,5,10,11,2,0,30
Aspcreb1,Aspergillus creber IBT 32277 v1.0,https://mycocosm.jgi.doe.gov/Aspcreb1,9,4,17,11,21,4,1,67
Aspcre1,Aspergillus cretensis CBS 112802 v1.0,https://mycocosm.jgi.doe.gov/Aspcre1,12,10,14,21,31,6,4,98
Aspcri1,Aspergillus cristatus GZAAS20.1005,https://mycocosm.jgi.doe.gov/Aspcri1,1,0,5,13,11,2,1,33
Aspcru1,Aspergillus crustosus CBS 478.65 v1.0,https://mycocosm.jgi.doe.gov/Aspcru1,7,0,7,11,18,3,3,49
Aspcu1,Aspergillus cumulatus DTO 311-F5 v1.0,https://mycocosm.jgi.doe.gov/Aspcu1,2,0,4,9,9,4,0,28
Aspden1,Aspergillus dentatus CBS 114.63 v1.0,https://mycocosm.jgi.doe.gov/Aspden1,6,2,10,16,24,5,1,64
Aspdese1,Aspergillus desertorum CBS 653.73 v1.0,https://mycocosm.jgi.doe.gov/Aspdese1,4,3,7,12,20,9,5,60
Aspdro1,Aspergillus dromiae CBS 140633 v1.0,https://mycocosm.jgi.doe.gov/Aspdro1,5,2,8,14,35,3,6,73
Aspdur1,Aspergillus duricaulis CBS 481.65 v1.0,https://mycocosm.jgi.doe.gov/Aspdur1,7,2,4,10,24,2,4,53
Aspegy1,Aspergillus egyptiacus CBS 656.73 v1.0,https://mycocosm.jgi.doe.gov/Aspegy1,4,0,16,8,19,4,4,55
Aspele1,Aspergillus elegans CBS 116.39 v1.0,https://mycocosm.jgi.doe.gov/Aspele1,8,8,17,26,27,3,5,94
Aspell1,Aspergillus ellipticus CBS 707.79 v1.0,https://mycocosm.jgi.doe.gov/Aspell1,2,2,15,14,28,7,4,72
Aspeuc1,Aspergillus eucalypticola CBS 122712 v1.0,https://mycocosm.jgi.doe.gov/Aspeuc1,2,6,11,19,26,4,6,74
Aspfalc1,Aspergillus falconensis CBS 271.91 v1.0,https://mycocosm.jgi.doe.gov/Aspfalc1,5,2,12,13,33,5,2,72
Aspfer1,Aspergillus ferenczii CBS 121594 v1.0,https://mycocosm.jgi.doe.gov/Aspfer1,2,2,7,9,12,2,3,37
Aspfij1,Aspergillus fijiensis CBS 313.89 v1.0,https://mycocosm.jgi.doe.gov/Aspfij1,5,3,21,25,26,3,4,87
Aspfili1,Aspergillus filifera CBS 114510 v1.0,https://mycocosm.jgi.doe.gov/Aspfili1,5,1,10,13,30,3,3,65
Aspfla1,Aspergillus flavipes CBS 22552 v1.0,https://mycocosm.jgi.doe.gov/Aspfla1,7,3,19,26,28,6,3,92
Aspfl1,Aspergillus flavus NRRL3357,https://mycocosm.jgi.doe.gov/Aspfl1,10,1,16,16,20,7,3,73
Aspfl2_3,Aspergillus flavus NRRL3357 v1.0,https://mycocosm.jgi.doe.gov/Aspfl2_3,9,1,16,17,24,6,4,77
Aspflo1,Aspergillus floccosus CBS 116.37 v1.0,https://mycocosm.jgi.doe.gov/Aspflo1,10,5,19,23,26,3,3,89
Aspfloc1,Aspergillus flocculosus v1.0,https://mycocosm.jgi.doe.gov/Aspfloc1,8,5,18,24,28,2,4,89
Aspflor1,Aspergillus floridensis DTO 198-A8 v1.0,https://mycocosm.jgi.doe.gov/Aspflor1,4,1,16,21,23,4,3,72
Aspfove1,Aspergillus foveolata CBS 279.81 v1.0,https://mycocosm.jgi.doe.gov/Aspfove1,5,2,8,17,29,4,3,68
Aspfre1,Aspergillus frequens CBS 586.65 v1.0,https://mycocosm.jgi.doe.gov/Aspfre1,8,2,13,24,16,2,4,69
Aspfru1,Aspergillus fructiculosus v1.0,https://mycocosm.jgi.doe.gov/Aspfru1,5,2,10,14,38,2,2,73
Aspfumig1,Aspergillus fumigatiaffinis CBS 117186 v1.0,https://mycocosm.jgi.doe.gov/Aspfumig1,7,2,19,12,23,3,3,69
Aspfu_A1163_1,Aspergillus fumigatus A1163,https://mycocosm.jgi.doe.gov/Aspfu_A1163_1,3,2,8,6,11,2,0,32
Aspfu1,Aspergillus fumigatus Af293 from AspGD,https://mycocosm.jgi.doe.gov/Aspfu1,2,0,9,7,14,2,0,34
Aspfumis1,Aspergillus fumisynnematus IBT 28474 v1.0,https://mycocosm.jgi.doe.gov/Aspfumis1,8,2,13,10,20,4,2,59
Aspfuni1,Aspergillus funiculosus CBS 116.56 v1.0,https://mycocosm.jgi.doe.gov/Aspfuni1,5,0,5,5,15,2,3,35
Aspgal1,Aspergillus galapagensis CBS 117522 v1.0,https://mycocosm.jgi.doe.gov/Aspgal1,3,2,9,9,12,2,2,39
Aspger1,Aspergillus germanicus CBS 123887 v1.0,https://mycocosm.jgi.doe.gov/Aspger1,5,0,10,16,24,3,7,65
Aspgig1,Aspergillus giganteus CBS 515.65 v1.0,https://mycocosm.jgi.doe.gov/Aspgig1,3,3,12,7,18,3,2,48
Aspgl1,Aspergillus glaucus v1.0,https://mycocosm.jgi.doe.gov/Aspgl1,1,0,6,11,13,3,0,34
Aspgra1,Aspergillus granulosus CBS 588.65 v1.0,https://mycocosm.jgi.doe.gov/Aspgra1,8,0,8,13,22,2,5,58
Asphai1,Aspergillus haitiensis CBS 468.91 v1.0,https://mycocosm.jgi.doe.gov/Asphai1,3,0,6,10,29,3,8,59
Asphet1,Aspergillus heteromorphus CBS 117.55 v1.0,https://mycocosm.jgi.doe.gov/Asphet1,4,3,12,16,16,3,3,57
