Genome,portal_link,DMAT,HYBRID,NRPS,NRPS-Like,PKS,PKS-Like,TC,Total
Alternaria alternata BMP0270,https://mycocosm.jgi.doe.gov/Aalte1,0,0,4,7,9,3,3,26
Alternaria alternata MPI-PUGE-AT-0064 v1.0,https://mycocosm.jgi.doe.gov/Altalt1,0,1,4,7,7,3,3,25
Alternaria alternata SRC1lrK2f v1.0,https://mycocosm.jgi.doe.gov/Altal1,1,1,5,7,9,3,3,29
Alternaria arborescens BMP0308,https://mycocosm.jgi.doe.gov/Altar1,1,0,9,6,10,3,1,30
Alternaria brassicicola,https://mycocosm.jgi.doe.gov/Altbr1,0,0,4,6,6,3,5,24
Alternaria brassicicola ATCC96836,https://mycocosm.jgi.doe.gov/Albra1,0,0,4,6,6,3,5,24
Alternaria capsici BMP0180,https://mycocosm.jgi.doe.gov/Altca1,2,1,6,6,8,3,2,28
Alternaria carthami BMP1963,https://mycocosm.jgi.doe.gov/Altcar1,2,1,10,8,14,2,2,39
Alternaria citriarbusti BMP2343,https://mycocosm.jgi.doe.gov/Altci1,0,1,7,8,11,2,3,32
Alternaria crassa BMP0172,https://mycocosm.jgi.doe.gov/Altcr1,2,1,5,6,12,3,3,32
Alternaria dauci BMP0167,https://mycocosm.jgi.doe.gov/Altda1,1,1,6,6,13,2,3,32
Alternaria fragaria BMP3062,https://mycocosm.jgi.doe.gov/Altfr1,2,1,4,7,9,3,3,29
Alternaria gaisen BMP2338,https://mycocosm.jgi.doe.gov/Altga1,0,0,8,7,10,1,3,29
Alternaria limoniasperae BMP2335,https://mycocosm.jgi.doe.gov/Altli1,1,1,5,7,12,2,2,30
Alternaria longipes BMP0313,https://mycocosm.jgi.doe.gov/Altlo1,0,0,8,8,6,3,3,28
Alternaria macrospora BMP1949,https://mycocosm.jgi.doe.gov/Altma1,1,2,5,9,12,3,4,36
Alternaria mali BMP3063,https://mycocosm.jgi.doe.gov/Amal3063,0,1,4,7,9,3,3,27
Alternaria mali BMP3064,https://mycocosm.jgi.doe.gov/Amal3064,1,1,7,8,8,1,2,28
Alternaria porri BMP0178,https://mycocosm.jgi.doe.gov/Altpo1,1,1,11,7,9,2,3,34
Alternaria rosae MPI-PUGE-AT-0040 v1.0,https://mycocosm.jgi.doe.gov/Altro1,1,1,4,6,12,2,1,27
Alternaria solani BMP0185,https://mycocosm.jgi.doe.gov/Altso1,2,0,8,6,14,1,2,33
Alternaria sp. UNIPAMPA012 v1.0,https://mycocosm.jgi.doe.gov/Altsp012_1,0,1,6,5,8,2,2,24
Alternaria sp. UNIPAMPA017 v1.0,https://mycocosm.jgi.doe.gov/Altsp017_1,1,1,3,5,9,3,1,23
Alternaria tangelonis BMP2327,https://mycocosm.jgi.doe.gov/Altta1,1,1,5,8,10,3,3,31
Alternaria tenuissima BMP0304,https://mycocosm.jgi.doe.gov/Altte1,1,1,5,7,9,3,3,29
Alternaria tomatophila BMP2032,https://mycocosm.jgi.doe.gov/Alttom1,2,0,9,8,14,4,2,39
Amanita muscaria Koide v1.0,https://mycocosm.jgi.doe.gov/Amamu1,1,0,0,2,3,0,10,16
Amanita muscaria var. formosa 2016PMI152 v1.0,https://mycocosm.jgi.doe.gov/Amaapr1,1,0,0,2,2,0,8,13
Amanita rubescens Přilba v1.0,https://mycocosm.jgi.doe.gov/Amarub1,1,0,0,2,3,0,5,11
Amanita thiersii Skay4041 v1.0,https://mycocosm.jgi.doe.gov/Amath1,1,0,0,3,2,1,5,12
Ambrosiozyma philentoma NRRL Y-7523,https://mycocosm.jgi.doe.gov/Ambph1,0,0,0,1,0,2,0,3
Amniculicola lignicola CBS 123094 v1.0,https://mycocosm.jgi.doe.gov/Amnli1,1,4,4,5,17,3,2,36
Amorphotheca resinae v1.0,https://mycocosm.jgi.doe.gov/Amore1,0,0,3,4,5,3,1,16
Ampelomyces quisqualis HMLAC05119 v1.0,https://mycocosm.jgi.doe.gov/Ampqui1,1,1,5,5,7,2,2,23
Amphiamblys sp. WSBS2006,https://mycocosm.jgi.doe.gov/AmpWSBS2006_1,,,,,,,,0
Amylocarpus encephaloides TRa018bII v1.0,https://mycocosm.jgi.doe.gov/Amyenc1,0,1,6,5,15,3,1,31
Amylocorticium subincarnatum OMC1654 v1.0,https://mycocosm.jgi.doe.gov/Amysub1,0,0,0,6,2,1,15,24
Amylocystis lapponica SKaAmylap13 v1.0,https://mycocosm.jgi.doe.gov/Amylap1_1,0,1,0,11,3,0,9,24
Amylomyces rouxii NRRL 5866 v1.0,https://mycocosm.jgi.doe.gov/Amyrou1,0,0,1,7,2,1,0,11
Amylostereum chailletii DWAch2 v1.0,https://mycocosm.jgi.doe.gov/Amycha1,0,0,1,11,2,2,5,21
Anaeromyces robustus v1.0,https://mycocosm.jgi.doe.gov/Anasp1,0,0,28,3,6,8,0,45
Annulohypoxylon bovei var. microspora CBS 124037 v1.0,https://mycocosm.jgi.doe.gov/Annbov1,2,1,5,14,23,4,8,57
Annulohypoxylon maeteangense CBS 123835 v1.0,https://mycocosm.jgi.doe.gov/Annmae1,2,2,9,8,30,3,9,63
Annulohypoxylon minutellum CBS 135445 v1.0,https://mycocosm.jgi.doe.gov/Annmin1,3,1,6,10,33,3,8,64
Annulohypoxylon moriforme CBS 123579 v1.0,https://mycocosm.jgi.doe.gov/Annmor1,2,2,8,9,31,3,6,61
Annulohypoxylon nitens CBS 120705 v1.0,https://mycocosm.jgi.doe.gov/Annnit1,1,1,6,12,36,3,9,68
Annulohypoxylon sp. FL0455 v1.0,https://mycocosm.jgi.doe.gov/AnFL0455,3,2,5,9,28,3,8,58
Annulohypoxylon stygium FL0470 v1.0,https://mycocosm.jgi.doe.gov/Annsty1,1,2,7,12,31,3,8,64
Annulohypoxylon truncatum CBS 140777 v1.0,https://mycocosm.jgi.doe.gov/Anntru1,3,2,4,14,25,4,9,61
Anomoloma albolutescens OMC1655 v1.0,https://mycocosm.jgi.doe.gov/Anoalb1,2,0,1,6,2,0,4,15
Anomoporia bombycina ATCC 64506 v1.0,https://mycocosm.jgi.doe.gov/Anobom1,1,1,0,9,5,1,19,36
Anomoporia kamtschatica OMC1758 v1.0,https://mycocosm.jgi.doe.gov/Anokam1,1,0,5,13,5,0,19,43
Anomoporia myceliosa MJL 4413 v1.0,https://mycocosm.jgi.doe.gov/Anomyc1,0,0,1,7,3,4,6,21
Anthostoma avocetta NRRL 3190 v1.0,https://mycocosm.jgi.doe.gov/Antav1,9,7,14,17,48,6,17,118
Anthostomella leucospermi CBS110126 v1.0,https://mycocosm.jgi.doe.gov/Antleu1,4,5,14,16,35,6,12,92
Anthostomella tomicoides 1013 v1.0,https://mycocosm.jgi.doe.gov/Anttom1,6,8,18,17,45,6,13,113
Antonospora locustae HM-2013,https://mycocosm.jgi.doe.gov/Antlo1,,,,,,,,0
Antrodia serialis Sig1Antser10 v1.0,https://mycocosm.jgi.doe.gov/Antser1,1,0,0,11,11,1,15,39
Antrodia sinuosa LB1 v1.0,https://mycocosm.jgi.doe.gov/Antsi1,1,0,0,9,4,0,11,25
Antrodiella citrinella FBCC 969 v1.0,https://mycocosm.jgi.doe.gov/Antcit1,0,0,0,17,3,0,7,27
Aphanobasidium pseudotsugae OMC1630 v1.0,https://mycocosm.jgi.doe.gov/Aphpse1,6,1,0,7,1,0,7,22
Apiosordaria backusii CBS 540.89 v1.0,https://mycocosm.jgi.doe.gov/Apibac1,3,1,5,6,10,2,2,29
Apiospora montagnei NRRL 25634 v1.0,https://mycocosm.jgi.doe.gov/Apimo1,2,6,11,10,36,4,7,76
Aplosporella prunicola CBS 121.167 v1.0,https://mycocosm.jgi.doe.gov/Aplpr1,1,4,6,8,10,2,3,34
Apodospora peruviana CBS 118394 v1.0,https://mycocosm.jgi.doe.gov/Apope1,1,3,12,5,16,3,5,45
Aporpium caryae L-13461,https://mycocosm.jgi.doe.gov/Elmca1,2,0,1,7,3,0,5,18
Armillaria borealis FPL87.14 v1.0,https://mycocosm.jgi.doe.gov/Armbor1,0,1,1,18,9,0,13,42
Armillaria cepistipes B5,https://mycocosm.jgi.doe.gov/Armcep1,0,2,1,21,4,0,22,50
Armillaria ectypa FPL83.16 v1.0,https://mycocosm.jgi.doe.gov/Armect1,0,2,1,10,5,0,9,27
Armillaria fumosa CBS 122221 v1.0,https://mycocosm.jgi.doe.gov/Armfum1,0,2,1,16,3,0,11,33
Armillaria gallica 21-2 v1.0,https://mycocosm.jgi.doe.gov/Armga1,0,2,1,21,6,0,17,47
Armillaria luteobubalina HWK02 v1.0,https://mycocosm.jgi.doe.gov/Armlut1,0,3,1,13,8,0,15,40
Armillaria mellea DSM 3731,https://mycocosm.jgi.doe.gov/Armme1_1,0,0,1,15,5,0,9,30
Armillaria mellea ELDO17 v1.0,https://mycocosm.jgi.doe.gov/Armmel1,0,2,1,14,6,0,9,32
Armillaria nabsnona CMW6904 v1.0,https://mycocosm.jgi.doe.gov/Armnab1,0,2,1,15,4,1,14,37
Armillaria novae-zelandiae 2840 v1.0,https://mycocosm.jgi.doe.gov/Armnov1,0,1,1,19,4,1,10,36
Armillaria ostoyae C18/9,https://mycocosm.jgi.doe.gov/Armosto1,0,2,1,19,5,0,15,42
Armillaria solidipes 28-4 v1.0,https://mycocosm.jgi.doe.gov/Armost1,0,2,2,19,5,0,15,43
Armillaria tabescens CCBAS 213 v1.0,https://mycocosm.jgi.doe.gov/Armtab1,0,2,2,14,5,0,12,35
Arthroascus fermentans 17710 v1.0,https://mycocosm.jgi.doe.gov/Artfe1_2,0,0,0,1,0,2,0,3
Arthrobotrys oligospora ATCC 24927,https://mycocosm.jgi.doe.gov/Artol1,1,0,1,4,4,2,4,16
Arthroderma benhamiae CBS 112371,https://mycocosm.jgi.doe.gov/Artbe1,2,3,14,4,7,2,2,34
Artolenzites elegans CIRM-BRFM 1122 v1.0,https://mycocosm.jgi.doe.gov/Artele1122_1,0,0,1,9,5,0,8,23
Artolenzites elegans CIRM-BRFM 1663 v1.0,https://mycocosm.jgi.doe.gov/Artel1,,,,,,,,0
Ascobolus immersus RN42 v1.0,https://mycocosm.jgi.doe.gov/Ascim1,1,0,2,1,2,2,0,8
Ascochyta rabiei ArDII,https://mycocosm.jgi.doe.gov/Ascra1,1,1,2,7,8,2,0,21
Ascocoryne sarcoides NRRL50072,https://mycocosm.jgi.doe.gov/Ascsa1,1,1,3,7,2,2,1,17
Ascodesmis nigricans CBS 389.68 v1.0,https://mycocosm.jgi.doe.gov/Ascni1,0,0,2,3,0,2,0,7
Ascoidea rubescens NRRL Y17699 v1.0,https://mycocosm.jgi.doe.gov/Ascru1,0,0,0,1,0,2,0,3
Ascosphaera apis ARSEF 7405,https://mycocosm.jgi.doe.gov/Ascap1,0,0,2,5,1,2,0,10
Aspergillus acristatulus CBS 119.55 v1.0,https://mycocosm.jgi.doe.gov/Aspacri1,3,2,12,14,31,3,0,65
Aspergillus aculeatinus CBS 121060 v1.0,https://mycocosm.jgi.doe.gov/Aspacu1,6,2,19,20,28,3,3,81
Aspergillus aculeatus ATCC16872 v1.1,https://mycocosm.jgi.doe.gov/Aspac1,3,4,18,21,19,4,2,71
Aspergillus affinis CBS 129190 v1.0,https://mycocosm.jgi.doe.gov/Aspaff1,13,8,13,22,36,3,6,101
Aspergillus alabamensis v1.0,https://mycocosm.jgi.doe.gov/Aspala1,7,4,14,16,21,3,3,68
Aspergillus albertensis v1.0,https://mycocosm.jgi.doe.gov/Aspalbe1,5,2,13,17,38,7,4,86
Aspergillus allahabadii v1.0,https://mycocosm.jgi.doe.gov/Aspall1,10,3,10,19,16,2,1,61
Aspergillus alliaceus CBS 536.65 v1.0,https://mycocosm.jgi.doe.gov/Aspalli1,2,2,15,20,37,8,5,89
Aspergillus ambiguus v1.0,https://mycocosm.jgi.doe.gov/Aspamb1,8,1,11,18,18,1,2,59
Aspergillus amoeneus CBS 111.32 v1.0,https://mycocosm.jgi.doe.gov/Aspamoe1,10,3,14,12,19,4,0,62
Aspergillus amylovorus CBS 600.67 v1.0,https://mycocosm.jgi.doe.gov/Aspamy1,2,3,11,9,27,2,6,60
Aspergillus arachidicola v1.0,https://mycocosm.jgi.doe.gov/Aspara19utr,10,3,18,13,18,5,3,70
Aspergillus arxii CBS 52583 v1.0,https://mycocosm.jgi.doe.gov/Asparx1,1,1,4,10,11,2,0,29
Aspergillus assulatus CBS 27911 v1.0,https://mycocosm.jgi.doe.gov/Aspass1,2,1,4,7,9,2,4,29
Aspergillus astellatus v1.0,https://mycocosm.jgi.doe.gov/Aspaste1,3,6,12,15,29,6,5,76
Aspergillus aurantiobrunneus CBS 465.65 v1.0,https://mycocosm.jgi.doe.gov/Aspaura1,6,1,10,14,20,3,6,60
Aspergillus aureofulgens IBT 27100 v1.0,https://mycocosm.jgi.doe.gov/Aspaurful1,11,0,12,18,13,2,1,57
Aspergillus aureolatus CBS 190.65 v1.0,https://mycocosm.jgi.doe.gov/Aspaurlat1,7,3,15,6,36,5,3,75
Aspergillus aureoluteus CBS 105.55 v1.0,https://mycocosm.jgi.doe.gov/Aspaurlut1,5,2,6,8,9,3,3,36
Aspergillus aureoterreus v1.0,https://mycocosm.jgi.doe.gov/Aspaur1,8,2,14,14,17,3,6,64
Aspergillus avenaceus IBT 18842 v1.0,https://mycocosm.jgi.doe.gov/Aspave1,1,4,11,18,18,4,6,62
Aspergillus bertholletius IBT 29228 v1.0,https://mycocosm.jgi.doe.gov/Aspber1,6,5,11,10,22,5,6,65
Aspergillus biplanus CBS 468.65 v1.0,https://mycocosm.jgi.doe.gov/Aspbip1,5,1,11,19,34,6,7,83
Aspergillus bisporus CBS 707.71 v1.0,https://mycocosm.jgi.doe.gov/Aspbisp1,2,1,8,12,12,4,2,41
Aspergillus bombycis NRRL 26010,https://mycocosm.jgi.doe.gov/Aspbom1,7,4,18,18,22,9,5,83
Aspergillus botucatensis CBS 114221 v1.0,https://mycocosm.jgi.doe.gov/Aspbot1,10,2,14,8,16,4,1,55
Aspergillus brasiliensis v1.0,https://mycocosm.jgi.doe.gov/Aspbr1,2,5,11,17,29,6,3,73
Aspergillus brevijanus CBS 111.46 v1.0,https://mycocosm.jgi.doe.gov/Aspbrev1,10,3,20,23,39,3,4,102
Aspergillus brevipes CBS 118.53 v1.0,https://mycocosm.jgi.doe.gov/Aspbre1,4,3,8,18,19,3,2,57
Aspergillus brunneoviolaceus CBS 621.78 v1.0,https://mycocosm.jgi.doe.gov/Aspbru1,4,2,21,21,24,3,4,79
Aspergillus caelatus CBS 763.97 v1.0,https://mycocosm.jgi.doe.gov/Aspcae1,8,4,16,20,22,8,5,83
Aspergillus calidoustus,https://mycocosm.jgi.doe.gov/Aspcal1,7,1,9,13,28,2,6,66
Aspergillus californicus CBS 123895 v1.0,https://mycocosm.jgi.doe.gov/Aspcalif1,8,5,19,16,29,4,6,87
Aspergillus campestris IBT 28561 v1.0,https://mycocosm.jgi.doe.gov/Aspcam1,5,5,11,11,12,2,2,48
Aspergillus candidus CBS 102.13 v1.0,https://mycocosm.jgi.doe.gov/Aspcand1,4,4,11,6,16,3,1,45
Aspergillus caninus CBS 128032 v1.0,https://mycocosm.jgi.doe.gov/Aspcanin1,0,0,3,3,9,2,0,17
Aspergillus capensis CBS 138188 v1.0,https://mycocosm.jgi.doe.gov/Aspcap1,6,3,20,18,13,3,5,68
Aspergillus carbonarius ITEM 5010 v3,https://mycocosm.jgi.doe.gov/Aspca3,2,5,11,20,18,4,4,64
Aspergillus carlsbadensis CBS 123894 v1.0,https://mycocosm.jgi.doe.gov/Aspcar1,5,2,9,16,26,3,7,68
Aspergillus cervinus CBS 196.64 v1.0,https://mycocosm.jgi.doe.gov/Aspcer1,3,1,16,10,24,5,4,63
Aspergillus chevalieri CBS 522.65 v1.0,https://mycocosm.jgi.doe.gov/Aspchev1,2,1,3,10,13,2,0,31
Aspergillus chrysellus CBS 472.65 v1.0,https://mycocosm.jgi.doe.gov/Aspchr1,7,11,14,26,38,5,4,105
Aspergillus clavatonanicus v1.0,https://mycocosm.jgi.doe.gov/Aspcla1,4,4,11,7,15,3,3,47
Aspergillus clavatus NRRL 1 from AspGD,https://mycocosm.jgi.doe.gov/Aspcl1,3,4,10,5,16,3,4,45
Aspergillus cleistominutus CBS 200.75 v1.0,https://mycocosm.jgi.doe.gov/Aspcle1,6,2,15,14,27,2,3,69
Aspergillus coreanus CBS 117059 v1.0,https://mycocosm.jgi.doe.gov/Aspcorea1,8,1,11,10,14,2,1,47
Aspergillus coremiiformis CBS 553.77 v1.0,https://mycocosm.jgi.doe.gov/Aspcor1,5,0,6,8,15,2,2,38
Aspergillus costaricaensis CBS 115574 v1.0,https://mycocosm.jgi.doe.gov/Aspcos1,3,5,17,21,32,7,7,92
Aspergillus costiformis CBS 101749 v1.0,https://mycocosm.jgi.doe.gov/Aspcost1,2,0,5,10,11,2,0,30
Aspergillus creber IBT 32277 v1.0,https://mycocosm.jgi.doe.gov/Aspcreb1,9,4,17,11,21,4,1,67
Aspergillus cretensis CBS 112802 v1.0,https://mycocosm.jgi.doe.gov/Aspcre1,12,10,14,21,31,6,4,98
Aspergillus cristatus GZAAS20.1005,https://mycocosm.jgi.doe.gov/Aspcri1,1,0,5,13,11,2,1,33
Aspergillus crustosus CBS 478.65 v1.0,https://mycocosm.jgi.doe.gov/Aspcru1,7,0,7,11,18,3,3,49
Aspergillus cumulatus DTO 311-F5 v1.0,https://mycocosm.jgi.doe.gov/Aspcu1,2,0,4,9,9,4,0,28
Aspergillus dentatus CBS 114.63 v1.0,https://mycocosm.jgi.doe.gov/Aspden1,6,2,10,16,24,5,1,64
Aspergillus desertorum CBS 653.73 v1.0,https://mycocosm.jgi.doe.gov/Aspdese1,4,3,7,12,20,9,5,60
Aspergillus dromiae CBS 140633 v1.0,https://mycocosm.jgi.doe.gov/Aspdro1,5,2,8,14,35,3,6,73
Aspergillus duricaulis CBS 481.65 v1.0,https://mycocosm.jgi.doe.gov/Aspdur1,7,2,4,10,24,2,4,53
Aspergillus egyptiacus CBS 656.73 v1.0,https://mycocosm.jgi.doe.gov/Aspegy1,4,0,16,8,19,4,4,55
Aspergillus elegans CBS 116.39 v1.0,https://mycocosm.jgi.doe.gov/Aspele1,8,8,17,26,27,3,5,94
Aspergillus ellipticus CBS 707.79 v1.0,https://mycocosm.jgi.doe.gov/Aspell1,2,2,15,14,28,7,4,72
Aspergillus eucalypticola CBS 122712 v1.0,https://mycocosm.jgi.doe.gov/Aspeuc1,2,6,11,19,26,4,6,74
Aspergillus falconensis CBS 271.91 v1.0,https://mycocosm.jgi.doe.gov/Aspfalc1,5,2,12,13,33,5,2,72
Aspergillus ferenczii CBS 121594 v1.0,https://mycocosm.jgi.doe.gov/Aspfer1,2,2,7,9,12,2,3,37
Aspergillus fijiensis CBS 313.89 v1.0,https://mycocosm.jgi.doe.gov/Aspfij1,5,3,21,25,26,3,4,87
Aspergillus filifera CBS 114510 v1.0,https://mycocosm.jgi.doe.gov/Aspfili1,5,1,10,13,30,3,3,65
Aspergillus flavipes CBS 22552 v1.0,https://mycocosm.jgi.doe.gov/Aspfla1,7,3,19,26,28,6,3,92
Aspergillus flavus NRRL3357,https://mycocosm.jgi.doe.gov/Aspfl1,10,1,16,16,20,7,3,73
Aspergillus flavus NRRL3357 v1.0,https://mycocosm.jgi.doe.gov/Aspfl2_3,9,1,16,17,24,6,4,77
Aspergillus floccosus CBS 116.37 v1.0,https://mycocosm.jgi.doe.gov/Aspflo1,10,5,19,23,26,3,3,89
Aspergillus flocculosus v1.0,https://mycocosm.jgi.doe.gov/Aspfloc1,8,5,18,24,28,2,4,89
Aspergillus floridensis DTO 198-A8 v1.0,https://mycocosm.jgi.doe.gov/Aspflor1,4,1,16,21,23,4,3,72
Aspergillus foveolata CBS 279.81 v1.0,https://mycocosm.jgi.doe.gov/Aspfove1,5,2,8,17,29,4,3,68
Aspergillus frequens CBS 586.65 v1.0,https://mycocosm.jgi.doe.gov/Aspfre1,8,2,13,24,16,2,4,69
Aspergillus fructiculosus v1.0,https://mycocosm.jgi.doe.gov/Aspfru1,5,2,10,14,38,2,2,73
Aspergillus fumigatiaffinis CBS 117186 v1.0,https://mycocosm.jgi.doe.gov/Aspfumig1,7,2,19,12,23,3,3,69
Aspergillus fumigatus A1163,https://mycocosm.jgi.doe.gov/Aspfu_A1163_1,3,2,8,6,11,2,0,32
Aspergillus fumigatus Af293 from AspGD,https://mycocosm.jgi.doe.gov/Aspfu1,2,0,9,7,14,2,0,34
Aspergillus fumisynnematus IBT 28474 v1.0,https://mycocosm.jgi.doe.gov/Aspfumis1,8,2,13,10,20,4,2,59
Aspergillus funiculosus CBS 116.56 v1.0,https://mycocosm.jgi.doe.gov/Aspfuni1,5,0,5,5,15,2,3,35
Aspergillus galapagensis CBS 117522 v1.0,https://mycocosm.jgi.doe.gov/Aspgal1,3,2,9,9,12,2,2,39
Aspergillus germanicus CBS 123887 v1.0,https://mycocosm.jgi.doe.gov/Aspger1,5,0,10,16,24,3,7,65
Aspergillus giganteus CBS 515.65 v1.0,https://mycocosm.jgi.doe.gov/Aspgig1,3,3,12,7,18,3,2,48
Aspergillus glaucus v1.0,https://mycocosm.jgi.doe.gov/Aspgl1,1,0,6,11,13,3,0,34
Aspergillus granulosus CBS 588.65 v1.0,https://mycocosm.jgi.doe.gov/Aspgra1,8,0,8,13,22,2,5,58
Aspergillus haitiensis CBS 468.91 v1.0,https://mycocosm.jgi.doe.gov/Asphai1,3,0,6,10,29,3,8,59
Aspergillus heteromorphus CBS 117.55 v1.0,https://mycocosm.jgi.doe.gov/Asphet1,4,3,12,16,16,3,3,57
Aspergillus heterothallicus CBS 489.65 v1.0,https://mycocosm.jgi.doe.gov/Asphethal1,4,0,9,16,15,4,4,52
Aspergillus hiratsukae CBS 294.93 v1.0,https://mycocosm.jgi.doe.gov/Asphir1,4,2,10,9,10,3,2,40
Aspergillus homomorphus CBS 101889 v1.0,https://mycocosm.jgi.doe.gov/Asphom1,4,3,16,22,24,5,4,78
Aspergillus ibericus CBS 121593 v1.0,https://mycocosm.jgi.doe.gov/Aspibe1,2,6,7,18,15,6,3,57
Aspergillus igneus CBS 466.65 v1.0,https://mycocosm.jgi.doe.gov/Aspign1,5,4,13,10,23,2,1,58
Aspergillus iizukae CBS 541.69 v1.0,https://mycocosm.jgi.doe.gov/Aspiiz1,7,4,18,22,16,3,3,73
Aspergillus implicatus CBS 484.95 v1.0,https://mycocosm.jgi.doe.gov/Aspimp1,3,4,13,18,49,5,8,100
Aspergillus indicus v2.0,https://mycocosm.jgi.doe.gov/Aspind2_1,7,2,10,14,29,2,2,66
Aspergillus indologenus CBS 114.80 v1.0,https://mycocosm.jgi.doe.gov/Aspind1,6,5,17,24,27,3,2,84
Aspergillus insolitus CBS 384.61 v1.0,https://mycocosm.jgi.doe.gov/Aspinso1,0,1,9,7,9,2,1,29
Aspergillus insuetus CBS 107.25 v1.0,https://mycocosm.jgi.doe.gov/Aspins1,5,1,8,17,27,2,6,66
Aspergillus japonicus CBS 114.51 v1.0,https://mycocosm.jgi.doe.gov/Aspjap1,4,1,21,22,19,3,1,71
Aspergillus karnatakaensis CBS 102800 v1.0,https://mycocosm.jgi.doe.gov/Aspkar1,11,3,12,19,29,5,2,81
Aspergillus kawachii IFO 4308,https://mycocosm.jgi.doe.gov/Aspka1_1,2,6,15,17,33,5,6,84
Aspergillus keveii CBS 209.92 v1.0,https://mycocosm.jgi.doe.gov/Aspkev1,8,0,11,17,25,3,8,72
Aspergillus laciniosus CBS 117721 v1.0,https://mycocosm.jgi.doe.gov/Asplaci1,9,2,16,11,15,5,1,59
Aspergillus lentulus CBS 117885 v1.0,https://mycocosm.jgi.doe.gov/Asplen1,6,2,12,9,18,3,2,52
Aspergillus leporis CBS 151.66 v1.0,https://mycocosm.jgi.doe.gov/Asplep1,8,6,17,23,25,4,3,86
Aspergillus longivesica v1.0,https://mycocosm.jgi.doe.gov/Asplon1,3,4,12,8,10,5,2,44
Aspergillus luchuensis CBS 106.47 v1.0,https://mycocosm.jgi.doe.gov/Aspfo1,2,6,16,22,30,5,6,87
Aspergillus lucknowensis CBS 449.75 v1.0,https://mycocosm.jgi.doe.gov/Aspluc1,3,3,7,6,23,5,3,50
Aspergillus luppii CBS 653.74 v1.0,https://mycocosm.jgi.doe.gov/Asplup1,10,0,14,19,12,3,1,59
Aspergillus microcysticus CBS 120.58 v1.0,https://mycocosm.jgi.doe.gov/Aspmic1,0,2,8,14,13,2,1,40
